name,version,license,checksum_sha256,repository
half,2.7.1,MIT OR Apache-2.0,6ea2d84b969582b4b1864a92dc5d27cd2b77b622a8d79306834f1be5ba20d84b,https://github.com/VoidStarKat/half-rs
harfrust,0.12.0,MIT,c03d949a14aa089bbb282f7dd76a498a7f684428e4257202efc119ec010376f9,https://github.com/harfbuzz/harfrust
hashbrown,0.16.1,MIT OR Apache-2.0,841d1cc9bed7f9236f321df977030373f4a4163ae1a7dbfe1a51a2c1a51d9100,https://github.com/rust-lang/hashbrown
hashbrown,0.17.1,MIT OR Apache-2.0,ed5909b6e89a2db4456e54cd5f673791d7eca6732202bbf2a9cc504fe2f9b84a,https://github.com/rust-lang/hashbrown
hashlink,0.12.1,MIT OR Apache-2.0,32069d97bb81e38fa67eab65e3393bf804bb85969f2bc06bf13f64aef5aba248,https://github.com/djc/hashlink
image,0.25.10,MIT OR Apache-2.0,85ab80394333c02fe689eaf900ab500fbd0c2213da414687ebf995a65d5a6104,https://github.com/image-rs/image
indexmap,2.14.2,Apache-2.0 OR MIT,cc4e190f5d26ca7051642629da2c52fc03bde85a03197c99408dcd291734c855,https://github.com/indexmap-rs/indexmap
itertools,0.15.0,MIT OR Apache-2.0,8b4baf93f58d4425749ca49a51c50ebab072c5df6994d08fed93541c331481dc,https://github.com/rust-itertools/itertools
itoa,1.0.18,MIT OR Apache-2.0,8f42a60cbdf9a97f5d2305f08a87dc4e09308d1276d28c869c684d7777685682,https://github.com/dtolnay/itoa
jobserver,0.1.35,MIT OR Apache-2.0,1c00acbd29eabad4a2392fa0e921c874934dbbf4194312ad20f04a0ed67a3cb3,https://github.com/rust-lang/jobserver-rs
khronos-egl,6.0.0,MIT/Apache-2.0,6aae1df220ece3c0ada96b8153459b67eebe9ae9212258bb0134ae60416fdf76,https://github.com/timothee-haudebourg/khronos-egl
kurbo,0.13.1,Apache-2.0 OR MIT,4b60dfc32f652b926df6192e55525b16d186c69d47876c3ead4da5cc9f8450e2,https://github.com/linebender/kurbo
libc,0.2.189,MIT OR Apache-2.0,3eaf3ede3fee6db1a4c2ee091bf8a8b4dccdc6d17f656fb07896ee72867612f2,https://github.com/rust-lang/libc
libloading,0.8.9,ISC,d7c4b02199fee7c5d21a5ae7d8cfa79a6ef5bb2fc834d6e9058e89c825efdc55,https://github.com/nagisa/rust_libloading/
libm,0.2.16,MIT,b6d2cec3eae94f9f509c767b45932f1ada8350c4bdb85af2fcab4a3c14807981,https://github.com/rust-lang/compiler-builtins
libsqlite3-sys,0.38.2,MIT,f1d20bef17f513b9b3004532233187769cd072d790971f4e4da0e346eb6401e8,https://github.com/rusqlite/rusqlite
linebender_resource_handle,0.1.1,Apache-2.0 OR MIT,d4a5ff6bcca6c4867b1c4fd4ef63e4db7436ef363e0ad7531d1558856bae64f4,https://github.com/linebender/raw_resource_handle
litrs,1.0.0,MIT OR Apache-2.0,11d3d7f243d5c5a8b9bb5d6dd2b1602c0cb0b9db1621bafc7ed66e35ff9fe092,https://github.com/LukasKalbertodt/litrs
lock_api,0.4.14,MIT OR Apache-2.0,224399e74b87b5f3557511d98dff8b14089b3dadafcab6bb93eab67d3aace965,https://github.com/Amanieu/parking_lot
log,0.4.34,MIT OR Apache-2.0,f9f8bd3e56ce4dfc153cf470fffbfa98c7620958b312ca5c3a4b8d5181fd13c6,https://github.com/rust-lang/log
memchr,2.8.3,Unlicense OR MIT,cf8baf1c55e62ffcace7a9f06f4bd9cd3f0c4beb022d3b367256b91b87513d98,https://github.com/BurntSushi/memchr
miniz_oxide,0.8.9,MIT OR Zlib OR Apache-2.0,1fa76a2c86f704bdb222d66965fb3d63269ce38518b83cb0575fca855ebb6316,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
miniz_oxide,0.9.1,MIT OR Zlib OR Apache-2.0,b63fbc4a50860e98e7b2aa7804ded1db5cbc3aff9193adaff57a6931bf7c4b4c,https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
moxcms,0.8.1,BSD-3-Clause OR Apache-2.0,bb85c154ba489f01b25c0d36ae69a87e4a1c73a72631fc6c0eb6dde34a73e44b,https://github.com/awxkee/moxcms.git
naga,30.0.1,MIT OR Apache-2.0,a616d2fb8c89516ac2723a581f69d6c18576046bed761bd6b305e5618e6ae130,https://github.com/gfx-rs/wgpu
naga-types,30.0.1,MIT OR Apache-2.0,590afbf58a6f4f62873cd5cff4468061844bafa1cdf399cc954537c22d768d49,https://github.com/gfx-rs/wgpu
nohash-hasher,0.2.0,Apache-2.0 OR MIT,2bf50223579dc7cdcfb3bfcacf7069ff68243f8c363f62ffa99cf000a6b9c451,https://github.com/paritytech/nohash-hasher
num-traits,0.2.19,MIT OR Apache-2.0,071dfc062690e90b734c0b2273ce72ad0ffa95f0c74596bc250dcfd960262841,https://github.com/rust-num/num-traits
objc-sys,0.3.5,MIT,cdb91bdd390c7ce1a8607f35f3ca7151b65afc0ff5ff3b34fa350f7d7c7e4310,https://github.com/madsmtm/objc2
objc2,0.5.2,MIT,46a785d4eeff09c14c487497c162e92766fbb3e4059a71840cecc03d9a50b804,https://github.com/madsmtm/objc2
objc2,0.6.4,MIT,3a12a8ed07aefc768292f076dc3ac8c48f3781c8f2d5851dd3d98950e8c5a89f,https://github.com/madsmtm/objc2
objc2-app-kit,0.2.2,MIT,e4e89ad9e3d7d297152b17d39ed92cd50ca8063a89a9fa569046d41568891eff,https://github.com/madsmtm/objc2
objc2-app-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,d49e936b501e5c5bf01fda3a9452ff86dc3ea98ad5f283e1455153142d97518c,https://github.com/madsmtm/objc2
objc2-core-data,0.2.2,MIT,617fbf49e071c178c0b24c080767db52958f716d9eabdf0890523aeae54773ef,https://github.com/madsmtm/objc2
objc2-core-foundation,0.3.2,Zlib OR Apache-2.0 OR MIT,2a180dd8642fa45cdb7dd721cd4c11b1cadd4929ce112ebd8b9f5803cc79d536,https://github.com/madsmtm/objc2
objc2-core-graphics,0.3.2,Zlib OR Apache-2.0 OR MIT,e022c9d066895efa1345f8e33e584b9f958da2fd4cd116792e15e07e4720a807,https://github.com/madsmtm/objc2
objc2-core-image,0.2.2,MIT,55260963a527c99f1819c4f8e3b47fe04f9650694ef348ffd2227e8196d34c80,https://github.com/madsmtm/objc2
objc2-encode,4.1.0,MIT,ef25abbcd74fb2609453eb695bd2f860d389e457f67dc17cafc8b8cbc89d0c33,https://github.com/madsmtm/objc2
objc2-foundation,0.2.2,MIT,0ee638a5da3799329310ad4cfa62fbf045d5f56e3ef5ba4149e7452dcf89d5a8,https://github.com/madsmtm/objc2
objc2-foundation,0.3.2,MIT,e3e0adef53c21f888deb4fa59fc59f7eb17404926ee8a6f59f5df0fd7f9f3272,https://github.com/madsmtm/objc2
objc2-io-surface,0.3.2,Zlib OR Apache-2.0 OR MIT,180788110936d59bab6bd83b6060ffdfffb3b922ba1396b312ae795e1de9d81d,https://github.com/madsmtm/objc2
objc2-metal,0.2.2,MIT,dd0cba1276f6023976a406a14ffa85e1fdd19df6b0f737b063b95f6c8c7aadd6,https://github.com/madsmtm/objc2
objc2-metal,0.3.2,Zlib OR Apache-2.0 OR MIT,a0125f776a10d00af4152d74616409f0d4a2053a6f57fa5b7d6aa2854ac04794,https://github.com/madsmtm/objc2
objc2-quartz-core,0.2.2,MIT,e42bee7bff906b14b167da2bac5efe6b6a07e6f7c0a21a7308d40c960242dc7a,https://github.com/madsmtm/objc2
objc2-quartz-core,0.3.2,Zlib OR Apache-2.0 OR MIT,96c1358452b371bf9f104e21ec536d37a650eb10f7ee379fff67d2e08d537f1f,https://github.com/madsmtm/objc2
once_cell,1.21.4,MIT OR Apache-2.0,9f7c3e4beb33f85d45ae3e3a1792185706c8e16d043238c593331cc7cd313b50,https://github.com/matklad/once_cell
ordered-float,5.5.0,MIT,8c7c9e0d9b23589f26070720bac724174bfec1083e82f7854cdd0267518343c0,https://github.com/reem/rust-ordered-float
